bag_name,ap_type,coarse_error,final_error,improvement,gt_lat,gt_lon,coarse_lat,coarse_lon,final_lat,final_lon
Mars_01,true_ap,3.776536609091557,3.2783337657114813,13.192056504383205,31.179473,121.5910687,31.179439058516497,121.59107011969859,31.17944357531075,121.59107086188679
Mars_02,true_ap,6.008351781174866,6.607970647591246,-9.979756316783622,31.1794597,121.5909808,31.1794979813864,121.59102537328458,31.179473036745698,121.59104848867979
97,true_ap,13.694108109951296,7.693398023178443,43.819648848925254,31.1794604,121.5910834,31.179394009220005,121.59096216045803,31.1794210506625,121.59101688226652
96,true_ap,1.2039305515670782,0.5951216026613845,50.56844417755215,31.179534,121.5909914,31.179528276141028,121.59100214225813,31.179529046300516,121.59099376827157
corrior_01,true_ap,7.490540930972017,4.787920411453209,36.08044524987463,31.1795469,121.5907763,31.179568453466874,121.59085089877416,31.17955682721344,121.59082527301459
office_01,true_ap,12.434866915858017,8.5956174920182,30.874873449137397,31.1796321,121.5908949,31.179654605159996,121.59102293662403,31.179624614812496,121.59098482944951
95,true_ap,15.419709425598903,9.312266136884942,39.60803099554353,31.1794672,121.5910973,31.179394009220005,121.59095962863847,31.1794210506625,121.59101561635674
combined_data_20250318_211851,true_ap,17.075039182246257,11.064714065851959,35.19948067026121,31.179448,121.5911275,31.17939401247829,121.59095947212158,31.179421052291644,121.5910155380983
Mars_01,est_ap,5.165689000440954,3.34519703409017,35.24199707329232,31.179473,121.5910687,31.17942982218538,121.5910486636734,31.179443652796444,121.59106096501566
97,est_ap,4.058883742576597,2.499686607619417,38.41443199275757,31.1794604,121.5910834,31.179464458418984,121.59104099907714,31.179460970913247,121.59105713271754
Mars_02,est_ap,2.847494329883846,4.352546066349275,-52.85530231509967,31.1794597,121.5909808,31.179484946756972,121.59097578928194,31.17947121508224,121.59102452781994
96,est_ap,2.01257002742682,0.2799917601071886,86.0878500478727,31.179534,121.5909914,31.179551943627676,121.59099417024842,31.179535789527502,121.59099347054558
office_01,est_ap,11.621804115426846,7.666360895310301,34.03467465835247,31.1796321,121.5908949,31.179654605159993,121.59101419856977,31.179623396994927,121.5909748414051
95,est_ap,1.4706806817080857,1.5557494147978563,-5.7843102277626715,31.1794672,121.5910973,31.17945452539628,121.59110171775353,31.179456004401896,121.59108749205572
combined_data_20250318_211851,est_ap,16.852647496215216,10.695525703136024,36.53504171651347,31.179448,121.5911275,31.179394009220005,121.59096197301292,31.17942655160438,121.5910179034535
corrior_01,est_ap,17.685568897140993,15.776950588542128,10.791953143827945,31.1795469,121.5907763,31.17952731309865,121.59096078906936,31.179526936861837,121.59094049173383
